Farm_ID,Crop_Type,Farm_Area(ha),Irrigation_Type,Water_Usage(m³),Fertilizer_Used(kg/ha),Pesticide_Used(kg/ha),Soil_Type,Season,Climate_Zone,Rainfall(mm),Temperature(°C),Yield(tons/ha),Profit(€)
1,Papa,21.52,Lluvia,3571.0,66.3,16.8,Arcilloso,Verano,Templado,80.7,17.9,14.08,75736.26
2,Tomate,180.61,Goteo,4201.4,186.4,8.7,Volcánico,Primavera,Árido,113.9,16.4,65.52,3550299.87
3,Café,101.55,Lluvia,3517.6,168.4,35.6,Arcilloso,Verano,Tropical,1198.7,32.5,1.97,439018.41
4,Parchita,165.47,Secano,3432.7,212.1,41.3,Franco,Primavera,Tropical,392.0,12.5,22.83,1888594.57
5,Papa,64.69,Goteo,3131.2,89.4,5.0,Volcánico,Primavera,Mediterráneo,897.8,30.3,26.73,432229.11
6,Algodón,179.21,Lluvia,3788.3,471.6,12.0,Arenoso,Primavera,Árido,968.0,19.5,4.54,122027.85
7,Arroz,78.45,Secano,877.2,299.2,7.1,Volcánico,Primavera,Árido,1029.6,20.4,5.92,102165.92
8,Papa,3.16,Goteo,4416.3,187.5,17.4,Franco,Invierno,Mediterráneo,1197.2,14.3,40.17,31736.62
9,Café,181.17,Secano,4372.0,228.6,22.5,Arenoso,Verano,Mediterráneo,289.8,22.2,1.97,785665.18
10,Parchita,19.17,Aspersión,243.3,251.2,37.4,Arenoso,Verano,Árido,48.4,14.8,16.29,156137.44
11,Tomate,64.54,Aspersión,4146.5,320.3,32.6,Arcilloso,Primavera,Mediterráneo,493.4,6.2,159.64,3091037.69
12,Café,190.06,Goteo,731.5,282.1,31.0,Arenoso,Primavera,Tropical,156.1,13.2,0.33,136480.21
13,Café,190.17,Lluvia,1742.1,463.7,17.6,Arenoso,Verano,Templado,26.9,5.2,1.47,614085.6
14,Arroz,115.11,Goteo,3743.2,273.6,42.1,Volcánico,Invierno,Tropical,432.5,34.4,15.51,392851.93
15,Soja,126.74,Secano,887.7,496.5,23.6,Franco,Otoño,Mediterráneo,940.5,34.0,2.03,89882.4
16,Parchita,90.24,Lluvia,4108.0,433.1,49.0,Arcilloso,Otoño,Árido,679.4,16.9,79.67,3594647.7
17,Trigo,59.35,Aspersión,4177.5,143.8,31.7,Volcánico,Verano,Árido,375.3,26.9,6.95,82458.68
18,Café,66.4,Lluvia,2586.6,468.8,6.3,Arenoso,Primavera,Tropical,785.2,15.4,4.73,691058.47
19,Soja,134.83,Aspersión,131.3,102.4,33.8,Arenoso,Primavera,Árido,278.4,25.1,0.07,3296.93
20,Trigo,150.72,Lluvia,1506.5,417.9,16.3,Arcilloso,Invierno,Mediterráneo,17.3,29.2,4.35,131190.98
21,Parchita,158.52,Lluvia,3122.9,221.3,34.3,Franco,Otoño,Tropical,917.2,33.4,20.13,1595237.91
22,Maíz,158.13,Lluvia,4907.8,445.1,3.5,Arcilloso,Invierno,Árido,748.5,17.0,25.69,731354.02
23,Algodón,19.15,Secano,3195.9,440.6,8.7,Volcánico,Otoño,Templado,914.8,28.5,8.32,23893.31
24,Soja,99.39,Secano,1373.0,412.7,42.8,Arcilloso,Verano,Templado,46.7,13.0,4.52,157350.69
25,Cacao,12.45,Goteo,3206.6,405.5,11.4,Arenoso,Otoño,Mediterráneo,1004.5,34.7,3.7,115305.11
26,Maíz,110.36,Goteo,2745.9,187.1,41.9,Volcánico,Invierno,Árido,743.4,5.8,7.8,154916.78
27,Algodón,88.86,Aspersión,3921.2,86.4,14.0,Arenoso,Invierno,Mediterráneo,676.1,23.1,1.55,20608.79
28,Arroz,177.65,Secano,624.2,231.3,32.1,Franco,Invierno,Tropical,749.5,24.8,1.12,43959.96
29,Papa,70.83,Aspersión,3829.0,128.1,34.7,Arenoso,Verano,Templado,1037.3,25.6,27.91,494276.45
30,Tomate,24.3,Goteo,2752.2,362.7,25.6,Arenoso,Otoño,Tropical,704.3,8.6,243.52,1775246.24
31,Cacao,29.46,Aspersión,4818.7,205.7,15.3,Arcilloso,Otoño,Árido,697.1,33.2,2.2,162257.19
32,Arroz,152.54,Goteo,1775.2,489.0,10.6,Arenoso,Invierno,Mediterráneo,1188.8,10.4,7.11,238725.07
33,Parchita,124.03,Secano,3199.8,338.4,1.7,Volcánico,Otoño,Mediterráneo,908.1,23.7,43.22,2680057.81
34,Arroz,21.12,Lluvia,4666.9,420.1,15.2,Volcánico,Primavera,Mediterráneo,530.8,11.7,28.06,130356.47
35,Papa,17.74,Secano,602.3,109.6,32.7,Franco,Primavera,Tropical,848.9,14.2,19.28,85515.97
36,Parchita,140.49,Aspersión,4692.4,437.9,46.9,Volcánico,Primavera,Templado,467.1,21.4,60.94,4280596.5
37,Cacao,15.48,Aspersión,3470.6,465.2,43.6,Arcilloso,Otoño,Tropical,274.7,17.5,4.14,160058.97
38,Papa,164.55,Secano,432.4,269.2,38.3,Franco,Verano,Tropical,716.2,9.8,4.92,202425.09
39,Trigo,141.54,Secano,1574.7,322.8,39.4,Volcánico,Verano,Árido,1113.8,10.1,5.37,152113.46
40,Tomate,17.19,Goteo,3570.0,394.2,33.2,Arcilloso,Verano,Árido,1115.0,17.5,211.99,1093208.48
41,Cacao,17.88,Aspersión,430.0,128.7,13.0,Volcánico,Verano,Árido,410.3,27.7,0.89,39766.76
42,Trigo,197.34,Aspersión,2952.6,276.2,45.4,Volcánico,Primavera,Templado,633.2,31.9,5.85,230839.58
43,Algodón,75.48,Secano,1794.8,229.4,33.5,Arenoso,Primavera,Templado,254.0,7.5,2.43,27478.55
44,Cacao,74.76,Lluvia,3142.5,115.9,28.0,Volcánico,Invierno,Árido,1194.8,16.8,1.11,207894.59
45,Algodón,162.75,Aspersión,324.1,215.4,5.5,Volcánico,Otoño,Árido,1177.3,8.0,0.21,5046.66
46,Parchita,189.5,Lluvia,4370.5,80.7,22.4,Arcilloso,Otoño,Templado,779.4,5.5,11.09,1050416.49
47,Trigo,197.21,Secano,4870.1,61.6,23.0,Arcilloso,Verano,Mediterráneo,965.3,24.9,1.66,65426.36
48,Tomate,150.92,Secano,4847.5,110.8,43.2,Arenoso,Primavera,Templado,858.1,23.1,59.77,2706185.06
49,Papa,75.88,Goteo,3773.3,483.4,27.3,Volcánico,Verano,Templado,711.8,9.9,93.37,1771185.43
50,Café,17.62,Aspersión,737.4,297.3,19.0,Arenoso,Invierno,Templado,64.0,12.0,4.87,188832.1
51,Arroz,155.65,Lluvia,3815.5,484.6,48.8,Volcánico,Otoño,Árido,545.7,5.7,14.24,487531.54
52,Maíz,112.12,Goteo,220.5,244.6,5.5,Franco,Otoño,Mediterráneo,809.7,30.0,0.87,17521.82
53,Tomate,85.42,Aspersión,208.4,190.3,21.1,Franco,Verano,Templado,813.0,34.2,7.89,202206.94
54,Trigo,181.36,Goteo,1685.7,277.8,2.1,Arenoso,Invierno,Árido,447.7,9.1,3.62,131315.56
55,Café,23.13,Secano,2494.4,247.8,37.0,Arenoso,Otoño,Tropical,1130.0,11.9,4.26,216865.85
56,Tomate,99.03,Aspersión,3875.0,97.5,45.9,Arenoso,Invierno,Tropical,200.8,31.1,47.15,1400668.51
57,Trigo,3.26,Goteo,3448.1,338.4,14.0,Arcilloso,Invierno,Templado,600.4,32.8,18.22,11879.31
58,Soja,94.26,Goteo,2284.9,147.2,42.9,Arcilloso,Verano,Tropical,829.1,17.6,2.29,75574.54
59,Soja,12.2,Lluvia,1440.8,328.8,14.6,Arcilloso,Primavera,Mediterráneo,836.6,6.5,9.53,40701.02
60,Algodón,24.64,Goteo,4985.9,342.6,45.5,Arenoso,Verano,Tropical,778.4,6.2,6.99,25817.19
61,Tomate,24.39,Aspersión,2188.3,118.4,37.7,Volcánico,Primavera,Tropical,330.3,22.2,68.28,499577.29
62,Soja,130.19,Aspersión,2311.8,77.6,40.2,Franco,Invierno,Mediterráneo,187.4,16.8,1.04,47460.78
63,Trigo,149.46,Lluvia,901.8,401.3,0.9,Arenoso,Primavera,Templado,763.1,5.9,3.62,108090.7
64,Algodón,117.09,Aspersión,3994.6,256.9,48.1,Arcilloso,Invierno,Templado,719.2,22.5,3.74,65735.62
65,Trigo,192.47,Secano,3499.0,76.2,36.3,Arcilloso,Otoño,Mediterráneo,215.2,5.3,1.85,71334.03
66,Algodón,75.6,Aspersión,1181.8,497.7,15.2,Arenoso,Otoño,Mediterráneo,846.2,28.6,3.0,33979.13
67,Tomate,57.86,Aspersión,503.7,76.0,41.5,Arenoso,Otoño,Mediterráneo,546.2,14.2,8.47,146977.51
68,Café,173.85,Goteo,3434.4,362.8,14.1,Arcilloso,Verano,Tropical,801.3,6.2,2.32,887629.61
69,Papa,45.5,Goteo,3307.1,492.7,43.6,Volcánico,Verano,Mediterráneo,1004.8,22.7,117.97,1341919.26
70,Cacao,192.68,Aspersión,1439.0,157.6,5.6,Arcilloso,Invierno,Árido,203.7,16.9,0.34,163263.61
71,Café,3.42,Lluvia,4759.2,114.0,35.2,Arcilloso,Otoño,Tropical,23.0,34.2,1.99,14960.85
72,Parchita,194.01,Goteo,840.2,104.6,27.0,Arenoso,Verano,Templado,934.9,21.3,2.71,262910.62
73,Trigo,9.59,Lluvia,2218.4,186.5,4.8,Volcánico,Otoño,Templado,731.6,13.3,8.24,15798.6
74,Parchita,178.34,Aspersión,4723.7,95.5,12.1,Arcilloso,Verano,Templado,839.6,26.3,11.92,1062570.13
75,Café,106.01,Aspersión,2156.7,361.5,0.6,Arcilloso,Primavera,Tropical,1005.8,13.1,2.94,686746.09
76,Algodón,198.6,Secano,3228.8,78.0,23.4,Franco,Primavera,Árido,963.4,32.1,0.63,18766.1
77,Cacao,15.69,Goteo,2048.2,279.2,15.1,Arenoso,Otoño,Mediterráneo,1153.1,16.2,2.7,105941.13
78,Cacao,111.22,Aspersión,1443.7,498.5,29.9,Franco,Invierno,Mediterráneo,643.1,21.5,1.22,340397.21
79,Maíz,193.89,Secano,4921.5,416.3,14.9,Franco,Verano,Templado,586.2,6.5,18.43,643370.69
80,Cacao,105.1,Goteo,2105.7,326.8,15.0,Arcilloso,Verano,Templado,482.3,17.8,1.69,443093.99
81,Papa,126.25,Aspersión,4481.1,187.8,37.2,Arenoso,Primavera,Tropical,184.4,30.0,36.02,1136860.06
82,Cacao,139.45,Aspersión,1226.8,330.8,2.4,Volcánico,Primavera,Árido,687.1,29.2,0.72,250773.73
83,Café,91.45,Goteo,1144.2,287.2,45.1,Arcilloso,Invierno,Mediterráneo,332.4,11.7,1.38,276905.37
84,Maíz,125.88,Goteo,252.6,241.7,42.6,Volcánico,Invierno,Tropical,1105.6,11.8,0.87,19772.53
85,Café,117.28,Goteo,3293.2,108.8,33.4,Volcánico,Invierno,Mediterráneo,699.8,29.5,1.01,261320.98
86,Café,180.33,Aspersión,1905.8,449.0,29.7,Arenoso,Otoño,Templado,711.4,32.9,1.74,689861.15
87,Arroz,10.04,Aspersión,4335.4,252.4,44.6,Franco,Primavera,Mediterráneo,425.9,7.9,12.27,27097.22
88,Maíz,56.91,Secano,2418.7,137.6,9.3,Arenoso,Otoño,Árido,62.4,18.5,9.07,92938.89
89,Café,190.13,Lluvia,4844.1,215.5,3.9,Volcánico,Primavera,Árido,38.1,15.1,2.29,957750.37
90,Arroz,178.16,Goteo,1009.1,236.4,12.0,Arcilloso,Primavera,Templado,508.0,31.1,2.06,80733.82
91,Arroz,91.68,Aspersión,4356.3,422.4,39.7,Volcánico,Verano,Árido,101.5,7.5,21.71,437824.72
92,Maíz,124.41,Aspersión,3905.3,380.1,1.7,Arcilloso,Primavera,Árido,728.2,11.3,22.51,504050.48
93,Parchita,56.2,Goteo,3877.5,396.2,29.1,Arcilloso,Primavera,Tropical,1057.2,27.6,89.51,2515332.88
94,Algodón,38.44,Lluvia,4239.4,55.0,49.8,Arenoso,Otoño,Mediterráneo,1059.5,6.5,1.23,7094.18
95,Papa,93.28,Goteo,3829.0,237.3,42.8,Volcánico,Primavera,Templado,790.9,19.8,64.9,1513518.08
96,Algodón,71.32,Lluvia,3168.5,266.6,26.1,Franco,Otoño,Templado,253.5,18.3,5.57,59554.03
97,Cacao,117.15,Aspersión,743.1,58.6,3.2,Volcánico,Invierno,Templado,1035.6,15.0,0.09,27087.33
98,Papa,16.47,Lluvia,259.4,166.9,41.6,Volcánico,Primavera,Templado,1063.3,16.8,14.02,57721.06
99,Cacao,194.9,Secano,4612.2,392.1,29.9,Franco,Primavera,Templado,236.0,20.9,2.1,1022373.32
100,Café,197.26,Aspersión,3121.6,111.7,5.7,Arenoso,Otoño,Árido,884.9,9.8,0.64,278354.4
101,Trigo,139.93,Secano,4003.0,290.9,4.7,Volcánico,Invierno,Tropical,343.8,22.2,10.82,302681.31
102,Maíz,107.68,Goteo,2459.5,146.8,45.5,Volcánico,Verano,Templado,963.2,29.2,5.9,114355.81
103,Papa,62.6,Goteo,674.8,55.5,33.5,Arcilloso,Invierno,Tropical,1196.7,27.8,3.42,53559.82
104,Papa,162.95,Goteo,713.4,158.5,41.5,Volcánico,Otoño,Tropical,36.0,9.6,3.48,141799.22
105,Café,137.26,Lluvia,3459.3,489.1,43.9,Franco,Invierno,Árido,1076.8,9.5,3.77,1139851.72
106,Parchita,33.36,Aspersión,2208.5,410.7,28.6,Arcilloso,Otoño,Templado,747.2,13.0,73.14,1219975.73
107,Arroz,182.27,Goteo,1082.6,481.8,25.9,Arenoso,Otoño,Árido,1168.1,15.8,3.9,156313.71
108,Café,164.68,Goteo,2508.8,269.5,21.5,Arcilloso,Verano,Templado,558.0,17.3,1.25,451583.15
109,Soja,190.01,Aspersión,414.6,99.4,15.8,Franco,Primavera,Árido,1016.9,25.4,0.17,11185.02
110,Arroz,145.42,Goteo,2951.7,296.6,21.7,Franco,Otoño,Tropical,74.9,6.7,11.69,373916.84
111,Maíz,123.07,Secano,1418.1,254.5,38.7,Arcilloso,Otoño,Templado,402.3,6.0,4.46,98879.55
112,Arroz,84.23,Aspersión,4008.0,430.0,30.1,Arenoso,Verano,Mediterráneo,80.4,16.8,23.73,439691.02
113,Parchita,186.61,Aspersión,1620.8,94.1,44.6,Arcilloso,Otoño,Tropical,1170.4,25.9,3.76,350875.79
114,Arroz,173.35,Aspersión,2330.6,269.7,22.2,Arenoso,Primavera,Mediterráneo,980.4,10.8,5.71,217853.6
115,Maíz,10.0,Secano,156.9,117.5,30.4,Arcilloso,Verano,Tropical,1023.1,24.2,3.29,5924.64
116,Parchita,6.25,Aspersión,455.0,196.1,31.6,Franco,Primavera,Árido,1125.6,12.8,37.77,118021.09
117,Algodón,75.92,Secano,2023.2,381.8,29.6,Volcánico,Primavera,Templado,102.1,31.6,5.13,58429.72
118,Papa,162.3,Aspersión,2451.7,264.2,35.1,Volcánico,Verano,Tropical,462.7,31.9,28.9,1172640.49
119,Papa,197.47,Lluvia,3040.1,219.1,11.9,Arenoso,Otoño,Árido,85.2,13.9,18.52,914325.43
120,Cacao,30.93,Goteo,1529.1,227.5,25.6,Arenoso,Primavera,Templado,253.0,11.9,1.84,142319.27
121,Algodón,119.23,Lluvia,3505.4,256.8,5.2,Arenoso,Primavera,Templado,275.2,17.3,4.32,77280.98
122,Algodón,76.8,Goteo,4314.6,403.3,19.2,Franco,Primavera,Tropical,562.9,12.2,8.25,95002.84
123,Arroz,194.01,Secano,3921.3,451.4,24.4,Arcilloso,Primavera,Templado,322.3,25.2,14.02,598495.34
124,Papa,168.58,Lluvia,294.1,479.9,32.6,Franco,Verano,Tropical,121.2,29.8,4.53,190940.4
125,Maíz,167.83,Aspersión,2454.5,404.1,47.5,Volcánico,Verano,Templado,201.0,25.2,11.51,347636.04
126,Tomate,94.27,Goteo,614.2,191.9,30.0,Arenoso,Invierno,Mediterráneo,176.7,29.7,18.23,515472.12
127,Tomate,83.55,Goteo,1286.0,359.7,37.2,Arcilloso,Invierno,Árido,1167.7,16.9,91.35,2289625.66
128,Parchita,55.41,Lluvia,4934.6,246.9,25.3,Volcánico,Primavera,Mediterráneo,911.2,9.7,57.54,1594101.23
129,Papa,12.22,Secano,798.2,164.6,31.7,Volcánico,Otoño,Tropical,1161.3,27.1,42.34,129339.97
130,Papa,173.08,Lluvia,2544.6,428.4,3.5,Volcánico,Primavera,Mediterráneo,527.7,15.8,32.06,1387306.47
131,Tomate,162.77,Secano,3129.0,67.3,12.7,Franco,Otoño,Tropical,334.0,25.1,17.61,859981.07
132,Papa,199.94,Secano,3542.1,455.8,18.1,Arenoso,Primavera,Templado,958.0,13.1,38.95,1946954.74
133,Arroz,199.33,Goteo,2842.3,257.7,23.6,Volcánico,Invierno,Templado,391.5,7.4,4.95,217236.95
134,Soja,111.53,Lluvia,147.9,336.7,2.3,Arenoso,Invierno,Tropical,359.3,34.8,0.31,12059.75
135,Trigo,154.03,Lluvia,1699.7,346.7,7.0,Franco,Otoño,Mediterráneo,279.0,9.7,4.89,150570.45
136,Algodón,189.01,Secano,2636.8,452.8,13.8,Volcánico,Primavera,Templado,155.6,34.7,2.89,81888.2
137,Cacao,170.08,Lluvia,530.5,336.5,48.6,Franco,Otoño,Árido,307.8,34.3,0.25,108290.59
138,Parchita,50.22,Aspersión,1818.1,326.3,16.6,Franco,Invierno,Templado,426.4,28.8,61.79,1551587.99
139,Soja,90.66,Aspersión,262.7,80.0,24.1,Arenoso,Primavera,Árido,808.8,24.8,0.14,4593.37
140,Tomate,26.7,Lluvia,485.0,283.3,9.8,Volcánico,Primavera,Mediterráneo,75.1,22.3,64.46,516353.67
141,Algodón,190.86,Lluvia,2044.9,117.6,30.5,Franco,Otoño,Árido,252.6,31.0,0.55,15668.46
142,Papa,121.63,Secano,750.3,381.8,14.0,Volcánico,Verano,Árido,970.8,13.7,14.83,450837.45
143,Cacao,46.5,Aspersión,2881.0,280.5,10.3,Arenoso,Otoño,Árido,176.3,19.0,2.48,288776.86
144,Papa,134.67,Aspersión,3478.4,356.1,25.8,Franco,Invierno,Árido,411.2,23.6,52.5,1767630.65
145,Maíz,124.01,Goteo,4022.9,68.8,0.3,Arenoso,Invierno,Templado,1037.6,17.3,3.75,83707.83
146,Maíz,72.27,Secano,1080.7,88.2,0.4,Volcánico,Invierno,Árido,185.9,17.8,2.6,33770.61
147,Cacao,23.6,Goteo,920.7,372.3,11.0,Volcánico,Invierno,Templado,99.3,14.9,2.93,172576.21
148,Cacao,134.64,Aspersión,612.4,82.4,1.8,Arenoso,Invierno,Árido,581.4,21.9,0.1,33423.08
149,Tomate,104.54,Secano,3218.5,82.1,5.4,Arcilloso,Verano,Tropical,362.9,30.5,40.48,1269397.56
150,Cacao,154.69,Lluvia,3561.7,55.4,16.9,Franco,Primavera,Mediterráneo,676.1,11.0,0.36,138056.42
151,Arroz,104.51,Secano,254.8,480.4,40.1,Volcánico,Otoño,Árido,964.6,33.0,1.72,39455.62
152,Papa,170.58,Lluvia,4687.4,381.9,28.6,Volcánico,Otoño,Tropical,164.6,25.7,53.0,2260178.28
153,Soja,110.83,Lluvia,354.7,209.0,25.6,Franco,Invierno,Árido,696.8,29.7,0.43,16764.82
154,Café,112.63,Secano,2752.4,183.4,14.7,Arenoso,Otoño,Árido,606.6,21.7,1.94,480780.59
155,Cacao,175.45,Lluvia,3574.4,207.4,46.6,Arenoso,Invierno,Árido,172.9,28.4,1.04,455643.74
156,Parchita,81.29,Goteo,4367.7,398.6,19.9,Arenoso,Verano,Tropical,748.8,5.5,89.96,3656327.99
157,Maíz,27.67,Aspersión,3599.0,347.6,4.4,Arcilloso,Verano,Mediterráneo,328.4,29.6,25.92,129090.73
158,Arroz,6.73,Lluvia,4028.5,133.3,30.9,Arcilloso,Primavera,Tropical,585.4,6.2,9.43,13959.03
159,Algodón,151.27,Goteo,1763.3,128.3,5.7,Volcánico,Verano,Mediterráneo,98.7,31.7,0.88,19897.55
160,Café,124.44,Lluvia,4092.6,94.3,17.3,Arenoso,Verano,Árido,551.5,34.8,1.39,381684.34
161,Soja,141.11,Aspersión,492.6,347.1,25.4,Franco,Primavera,Templado,367.8,13.8,0.99,48835.13
162,Café,43.38,Goteo,4484.6,394.0,43.7,Volcánico,Otoño,Árido,986.9,11.3,5.41,516021.59
163,Cacao,28.14,Aspersión,2783.2,169.3,24.7,Franco,Invierno,Mediterráneo,68.4,28.0,1.95,137194.34
164,Tomate,3.89,Aspersión,4104.8,59.4,35.1,Volcánico,Invierno,Tropical,502.3,12.6,29.21,34092.38
165,Maíz,70.77,Goteo,2316.4,87.0,49.6,Arcilloso,Otoño,Árido,550.1,31.0,4.45,56652.45
